City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,beira,-19.8436,34.8389,21.05,100,20,1.54,MZ,1693969255
83,lihue,21.9789,-159.3672,28.58,72,100,1.75,US,1693969255
84,sault ste. marie,46.5168,-84.3333,23.31,94,0,2.57,CA,1693968566
85,geraldton,-28.7667,114.6,18.23,59,100,7.72,AU,1693969255
86,imperatriz,-5.5264,-47.4917,25.65,31,0,0.77,BR,1693969256
87,utrik,11.2278,169.8474,28.47,70,100,4.74,MH,1693969256
88,yellowknife,62.456,-114.3525,12.29,73,75,1.54,CA,1693968987
89,savastepe,39.3832,27.6561,19.23,93,100,3.23,TR,1693969256
90,bilibino,68.0546,166.4372,2.43,71,100,1.63,RU,1693969256
91,slave lake,55.2834,-114.769,8.99,95,100,0.0,CA,1693969257
92,greenville,35.6127,-77.3663,26.74,93,40,0.0,US,1693969143
93,minas de marcona,-15.2119,-75.1103,16.52,72,36,0.52,PE,1693969257
94,sardinata,8.0829,-72.8007,29.82,74,18,1.96,CO,1693969258
95,clewiston,26.7542,-80.9337,26.67,74,73,3.96,US,1693969258
96,vila franca do campo,37.7167,-25.4333,21.23,85,49,6.61,PT,1693969258
97,blackmans bay,-43.0167,147.3167,15.29,56,100,3.2,AU,1693969259
98,afaahiti,-17.75,-149.2833,25.93,95,100,12.12,PF,1693969259
99,ghardaia,32.4909,3.6735,28.64,32,0,3.6,DZ,1693969259
100,abong mbang,3.9833,13.1833,18.97,99,93,0.72,CM,1693969259
101,rio grande,-32.035,-52.0986,5.53,83,0,1.54,BR,1693969260
102,riohacha,11.5444,-72.9072,29.38,77,89,9.62,CO,1693969263
103,north ward,-19.2454,146.8075,25.95,53,20,4.63,AU,1693969263
104,muisne,0.6,-80.0333,24.88,82,100,3.38,EC,1693969264
105,kasongo-lunda,-6.4667,16.8167,20.45,82,31,0.98,CD,1693969264
106,svetlyy,54.675,20.1347,14.03,91,0,3.68,RU,1693969264
107,amahai,-3.3333,128.9167,26.16,81,82,4.37,ID,1693969265
108,waseca,44.0777,-93.5074,25.21,84,0,2.06,US,1693969266
109,nautanwa,27.4333,83.4167,30.09,64,99,0.74,IN,1693969266
110,ar ruways,24.1103,52.7306,31.17,67,6,1.77,AE,1693969266
111,codrington,-38.2667,141.9667,17.17,55,6,8.9,AU,1693969266
112,ancud,-41.8697,-73.8203,10.42,84,94,10.46,CL,1693969221
113,college,64.8569,-147.8028,15.11,83,100,1.54,US,1693969267
114,puerto madryn,-42.7692,-65.0385,9.01,80,100,7.67,AR,1693969037
115,sisimiut,66.9395,-53.6735,5.22,97,100,7.01,GL,1693969268
116,georgetown,5.4112,100.3354,29.41,81,20,2.06,MY,1693969101
117,greenland,43.0362,-70.8328,24.69,89,20,2.57,US,1693969269
118,mudgee,-32.5943,149.5871,19.88,20,0,2.64,AU,1693969269
119,salym,60.0625,71.4789,9.02,68,89,3.87,RU,1693969270
120,key west,24.5557,-81.7826,30.0,72,100,5.66,US,1693969110
121,keflavik,64.0049,-22.5624,11.95,100,100,10.29,IS,1693969207
122,punta arenas,-53.15,-70.9167,0.62,86,19,6.63,CL,1693969271
123,pandan,14.0453,124.1694,30.91,67,88,0.36,PH,1693969271
124,atafu village,-8.5421,-172.5159,28.1,79,21,8.01,TK,1693969271
125,san blas,21.5167,-105.2667,28.94,85,29,0.79,MX,1693969272
126,ban houakhoua,20.2453,100.4547,24.84,92,100,0.35,LA,1693969272
127,st. john's,47.5649,-52.7093,15.54,97,20,1.03,CA,1693969272
128,horsham,51.064,-0.3272,18.68,85,0,0.51,GB,1693969272
129,allegan,42.5292,-85.8553,26.43,77,100,1.79,US,1693969249
130,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,63,75,6.0,RU,1693969273
131,port blair,11.6667,92.75,30.02,79,75,7.2,IN,1693969238
132,holualoa,19.6228,-155.9522,27.65,79,61,1.34,US,1693969273
133,new norfolk,-42.7826,147.0587,15.95,59,100,3.72,AU,1693969274
134,belmonte,-15.8631,-38.8828,22.66,86,24,3.39,BR,1693969274
135,zubova polyana,54.0771,42.8372,15.82,62,100,1.76,RU,1693969274
136,harper,4.375,-7.7169,24.41,86,96,3.53,LR,1693969275
137,vanino,49.0869,140.2543,17.28,71,81,4.59,RU,1693969275
138,flying fish cove,-10.4217,105.6791,25.82,73,75,5.66,CX,1693969275
139,kyaikkami,16.08,97.5675,25.67,91,100,5.56,MM,1693969275
140,punta del este,-34.9667,-54.95,7.76,71,75,2.57,UY,1693969276
141,san fernando de monte cristi,19.8667,-71.65,28.65,72,97,1.45,DO,1693969276
142,kolonia,50.9333,6.95,19.41,75,0,2.06,DE,1693969276
143,road town,18.4167,-64.6167,29.02,70,40,2.57,VG,1693969276
144,whitehorse,60.7161,-135.0538,15.57,52,75,4.12,CA,1693969276
145,dezhou,37.4486,116.2925,30.15,50,0,2.73,CN,1693969277
146,phan rang-thap cham,11.5667,108.9833,31.55,60,100,1.04,VN,1693969277
147,antsiranana,-12.2787,49.2917,21.94,70,0,5.45,MG,1693969277
148,paros,37.0833,25.15,26.28,81,96,5.46,GR,1693969235
149,aleg,17.0481,-13.9209,30.47,59,100,6.53,MR,1693969277
150,mwingi,-0.9344,38.0601,16.93,84,32,1.78,KE,1693969278
151,vernon,50.2581,-119.2691,21.74,43,19,0.51,CA,1693969220
152,alice springs,-23.7,133.8833,29.75,17,12,9.26,AU,1693969278
153,khandyga,62.6667,135.6,15.32,46,100,2.51,RU,1693969278
154,canto do buriti,-8.11,-42.9444,24.27,41,30,1.6,BR,1693969279
155,turtas,58.9417,69.1325,9.25,71,93,3.36,RU,1693969279
156,kodiak,57.79,-152.4072,13.26,80,98,1.71,US,1693969279
157,siler city,35.7235,-79.4622,25.19,97,0,0.0,US,1693969279
158,ahfir,34.9537,-2.1003,19.34,64,16,0.95,MA,1693969280
159,swakopmund,-22.6833,14.5333,9.47,82,71,1.34,NA,1693969286
160,leirvik,59.7798,5.5005,10.9,83,6,1.56,NO,1693969225
161,tolanaro,-25.0319,46.9987,20.04,94,75,3.09,MG,1693969286
162,hinthada,17.6333,95.4667,27.67,82,100,3.72,MM,1693969286
163,hithadhoo,-0.6,73.0833,28.17,72,8,5.78,MV,1693969287
164,bandhi,26.5861,68.3006,30.04,55,0,5.0,PK,1693969287
165,lata,40.1629,-8.3327,17.26,85,76,1.48,PT,1693969288
166,papao,-17.75,-149.55,26.82,93,100,12.29,PF,1693969288
167,naberera,-4.2,36.9333,15.05,85,2,1.39,TZ,1693969288
168,yuzha,56.5831,42.0122,12.51,71,99,2.74,RU,1693969288
169,mana,5.6592,-53.7767,25.63,87,36,3.86,GF,1693969288
170,bodo,67.28,14.405,9.41,89,75,9.77,NO,1693969289
171,ribeira grande,38.5167,-28.7,20.99,85,97,5.81,PT,1693969289
172,baker city,44.7749,-117.8344,19.84,62,0,4.63,US,1693969032
173,fort bragg,35.139,-79.006,27.73,84,0,0.0,US,1693969263
174,ambah,26.7075,78.2261,29.17,65,65,5.49,IN,1693969289
175,ciudad madero,22.2667,-97.8333,30.03,80,3,6.14,MX,1693969023
176,krasnyy yar,46.5331,48.3456,19.98,47,100,4.15,RU,1693969290
177,bandarbeyla,9.4942,50.8122,24.89,83,6,8.1,SO,1693969290
178,qaqortoq,60.7167,-46.0333,5.33,96,89,3.42,GL,1693969291
179,saint-philippe,-21.3585,55.7679,19.77,71,37,4.09,RE,1693969291
180,nar'yan-mar,67.6713,53.087,12.64,96,100,5.08,RU,1693969291
181,cabo san lucas,22.8909,-109.9124,32.01,78,0,3.6,MX,1693968823
182,ust-nera,64.5667,143.2,10.57,48,100,1.66,RU,1693969292
183,daru,-9.0763,143.2092,26.82,77,66,6.17,PG,1693969292
184,sale,34.0389,-6.8166,19.86,100,40,0.0,MA,1693969293
185,laguna larga,-31.7765,-63.801,12.21,42,100,5.39,AR,1693969293
186,dzhalagash,45.0833,64.6667,19.14,39,90,2.86,KZ,1693969293
187,queenstown,-31.8976,26.8753,2.71,61,7,3.53,ZA,1693969248
188,smithers,54.7804,-127.1743,14.18,62,75,1.03,CA,1693969219
189,ciudad sabinas hidalgo,26.5,-100.1667,30.56,51,0,6.61,MX,1693969294
190,mocoreta,-30.6189,-57.9634,9.66,76,4,3.59,AR,1693969294
191,mount gambier,-37.8333,140.7667,18.35,45,5,5.05,AU,1693969254
192,shira,54.4911,89.9531,14.72,59,61,3.36,RU,1693969294
193,sosnovo-ozerskoye,52.5249,111.5418,18.65,61,99,1.79,RU,1693969295
194,pisco,-13.7,-76.2167,18.03,88,0,4.12,PE,1693969295
195,myitkyina,25.3833,97.4,31.46,63,15,0.86,MM,1693969295
196,robertsport,6.7533,-11.3686,26.14,78,95,5.11,LR,1693969295
197,uglegorsk,49.0833,142.0333,17.21,81,43,6.68,RU,1693969296
198,bol,13.4586,14.7147,26.73,78,42,5.72,TD,1693969296
199,bentiu,9.2333,29.8333,21.47,97,100,1.24,SS,1693969296
200,lebu,-37.6167,-73.65,11.6,88,95,2.59,CL,1693969297
201,san julian,21.0167,-102.1667,17.49,60,65,2.3,MX,1693969297
202,dryden,49.7833,-92.7503,13.16,94,100,5.14,CA,1693969297
